comparison_type,comparison_name,metric_name,condition_subset,spearman_rho,num_conditions,condition_set
human_anchor,THINGS behavioral similarity,rsa_score,all_conditions,-0.5714285714285714,8,"T_neutral,T_prompt_primary,M_text_only,M_matched_image,M_prompt_plus_matched_image,M_degraded_image,M_mismatched_image,M_blank_image"
human_anchor,controlled_THINGS,rsa_score,all_conditions,-0.5714285714285714,8,"T_neutral,T_prompt_primary,M_text_only,M_matched_image,M_prompt_plus_matched_image,M_degraded_image,M_mismatched_image,M_blank_image"
human_anchor,SigLIP2,rsa_score,all_conditions,-0.7857142857142857,8,"T_neutral,T_prompt_primary,M_text_only,M_matched_image,M_prompt_plus_matched_image,M_degraded_image,M_mismatched_image,M_blank_image"
human_anchor,lancaster_perceptual,rsa_score,all_conditions,-0.3333333333333333,8,"T_neutral,T_prompt_primary,M_text_only,M_matched_image,M_prompt_plus_matched_image,M_degraded_image,M_mismatched_image,M_blank_image"
human_anchor,THINGS behavioral similarity,rsa_score,primary_comparison,-0.7999999999999998,4,"T_prompt_primary,M_text_only,M_matched_image,M_prompt_plus_matched_image"
human_anchor,controlled_THINGS,rsa_score,primary_comparison,-0.7999999999999998,4,"T_prompt_primary,M_text_only,M_matched_image,M_prompt_plus_matched_image"
human_anchor,SigLIP2,rsa_score,primary_comparison,-0.3999999999999999,4,"T_prompt_primary,M_text_only,M_matched_image,M_prompt_plus_matched_image"
human_anchor,lancaster_perceptual,rsa_score,primary_comparison,-0.3999999999999999,4,"T_prompt_primary,M_text_only,M_matched_image,M_prompt_plus_matched_image"
human_anchor,THINGS behavioral similarity,rsa_score,multimodal_perturbations,-0.8285714285714286,6,"M_text_only,M_blank_image,M_mismatched_image,M_degraded_image,M_matched_image,M_prompt_plus_matched_image"
human_anchor,controlled_THINGS,rsa_score,multimodal_perturbations,-0.8285714285714286,6,"M_text_only,M_blank_image,M_mismatched_image,M_degraded_image,M_matched_image,M_prompt_plus_matched_image"
human_anchor,SigLIP2,rsa_score,multimodal_perturbations,-0.8857142857142857,6,"M_text_only,M_blank_image,M_mismatched_image,M_degraded_image,M_matched_image,M_prompt_plus_matched_image"
human_anchor,lancaster_perceptual,rsa_score,multimodal_perturbations,-0.8285714285714286,6,"M_text_only,M_blank_image,M_mismatched_image,M_degraded_image,M_matched_image,M_prompt_plus_matched_image"
human_anchor,THINGS behavioral similarity,rsa_score,visual_input_only,-0.7999999999999998,4,"M_blank_image,M_mismatched_image,M_degraded_image,M_matched_image"
human_anchor,controlled_THINGS,rsa_score,visual_input_only,-0.7999999999999998,4,"M_blank_image,M_mismatched_image,M_degraded_image,M_matched_image"
human_anchor,SigLIP2,rsa_score,visual_input_only,-0.9999999999999998,4,"M_blank_image,M_mismatched_image,M_degraded_image,M_matched_image"
human_anchor,lancaster_perceptual,rsa_score,visual_input_only,-0.7999999999999998,4,"M_blank_image,M_mismatched_image,M_degraded_image,M_matched_image"
linear_probe,coarse_category,balanced_accuracy,all_conditions,-0.3333333333333333,8,"T_neutral,T_prompt_primary,M_text_only,M_matched_image,M_prompt_plus_matched_image,M_degraded_image,M_mismatched_image,M_blank_image"
linear_probe,coarse_category,macro_f1,all_conditions,-0.30952380952380953,8,"T_neutral,T_prompt_primary,M_text_only,M_matched_image,M_prompt_plus_matched_image,M_degraded_image,M_mismatched_image,M_blank_image"
linear_probe,subtype,balanced_accuracy,all_conditions,-0.35714285714285715,8,"T_neutral,T_prompt_primary,M_text_only,M_matched_image,M_prompt_plus_matched_image,M_degraded_image,M_mismatched_image,M_blank_image"
linear_probe,subtype,macro_f1,all_conditions,-0.38095238095238093,8,"T_neutral,T_prompt_primary,M_text_only,M_matched_image,M_prompt_plus_matched_image,M_degraded_image,M_mismatched_image,M_blank_image"
linear_probe,coarse_category,balanced_accuracy,primary_comparison,-0.3999999999999999,4,"T_prompt_primary,M_text_only,M_matched_image,M_prompt_plus_matched_image"
linear_probe,coarse_category,macro_f1,primary_comparison,-0.3999999999999999,4,"T_prompt_primary,M_text_only,M_matched_image,M_prompt_plus_matched_image"
linear_probe,subtype,balanced_accuracy,primary_comparison,-0.3999999999999999,4,"T_prompt_primary,M_text_only,M_matched_image,M_prompt_plus_matched_image"
linear_probe,subtype,macro_f1,primary_comparison,-0.3999999999999999,4,"T_prompt_primary,M_text_only,M_matched_image,M_prompt_plus_matched_image"
linear_probe,coarse_category,balanced_accuracy,multimodal_perturbations,-0.6,6,"M_text_only,M_blank_image,M_mismatched_image,M_degraded_image,M_matched_image,M_prompt_plus_matched_image"
linear_probe,coarse_category,macro_f1,multimodal_perturbations,-0.6,6,"M_text_only,M_blank_image,M_mismatched_image,M_degraded_image,M_matched_image,M_prompt_plus_matched_image"
linear_probe,subtype,balanced_accuracy,multimodal_perturbations,-0.6571428571428571,6,"M_text_only,M_blank_image,M_mismatched_image,M_degraded_image,M_matched_image,M_prompt_plus_matched_image"
linear_probe,subtype,macro_f1,multimodal_perturbations,-0.6,6,"M_text_only,M_blank_image,M_mismatched_image,M_degraded_image,M_matched_image,M_prompt_plus_matched_image"
linear_probe,coarse_category,balanced_accuracy,visual_input_only,-0.5999999999999999,4,"M_blank_image,M_mismatched_image,M_degraded_image,M_matched_image"
linear_probe,coarse_category,macro_f1,visual_input_only,-0.5999999999999999,4,"M_blank_image,M_mismatched_image,M_degraded_image,M_matched_image"
linear_probe,subtype,balanced_accuracy,visual_input_only,-0.7999999999999998,4,"M_blank_image,M_mismatched_image,M_degraded_image,M_matched_image"
linear_probe,subtype,macro_f1,visual_input_only,-0.5999999999999999,4,"M_blank_image,M_mismatched_image,M_degraded_image,M_matched_image"
