condition,target_label,metric_name,metric_value,chance_value,coverage_concepts,coverage_classes,delta_vs_prompt,delta_vs_matched
T_neutral,coarse_category,macro_f1,0.4788218776748742,0.03333333333333333,1854,30,0.01834797485817602,-0.12248564823721692
T_prompt_primary,coarse_category,macro_f1,0.4604739028166982,0.03333333333333333,1854,30,0.0,-0.14083362309539293
M_text_only,coarse_category,macro_f1,0.4502925116666049,0.03333333333333333,1854,30,-0.01018139115009331,-0.15101501424548625
M_matched_image,coarse_category,macro_f1,0.6013075259120911,0.03333333333333333,1854,30,0.14083362309539293,0.0
M_prompt_plus_matched_image,coarse_category,macro_f1,0.5961489915710352,0.03333333333333333,1854,30,0.13567508875433698,-0.005158534341055954
M_degraded_image,coarse_category,macro_f1,0.6087893914169478,0.03333333333333333,1854,30,0.14831548860024957,0.007481865504856633
M_mismatched_image,coarse_category,macro_f1,0.5084989154959004,0.03333333333333333,1854,30,0.04802501267920223,-0.0928086104161907
M_blank_image,coarse_category,macro_f1,0.47888564903313535,0.03333333333333333,1854,30,0.018411746216437153,-0.12242187687895578
T_neutral,coarse_category,balanced_accuracy,0.460920602966937,0.03333333333333333,1854,30,0.02111526936114627,-0.11472914423967501
T_prompt_primary,coarse_category,balanced_accuracy,0.4398053336057907,0.03333333333333333,1854,30,0.0,-0.13584441360082128
M_text_only,coarse_category,balanced_accuracy,0.4335159355094514,0.03333333333333333,1854,30,-0.006289398096339327,-0.1421338116971606
M_matched_image,coarse_category,balanced_accuracy,0.575649747206612,0.03333333333333333,1854,30,0.13584441360082128,0.0
M_prompt_plus_matched_image,coarse_category,balanced_accuracy,0.5696969647862957,0.03333333333333333,1854,30,0.129891631180505,-0.005952782420316272
M_degraded_image,coarse_category,balanced_accuracy,0.5787625416500904,0.03333333333333333,1854,30,0.13895720804429973,0.0031127944434784505
M_mismatched_image,coarse_category,balanced_accuracy,0.4809530793720181,0.03333333333333333,1854,30,0.04114774576622737,-0.0946966678345939
M_blank_image,coarse_category,balanced_accuracy,0.4582562871060321,0.03333333333333333,1854,30,0.018450953500241396,-0.11739346010057988
T_neutral,subtype,macro_f1,0.39429042354666644,0.02040816326530612,1818,49,-0.007175808280455054,-0.10160976977613528
T_prompt_primary,subtype,macro_f1,0.4014662318271215,0.02040816326530612,1818,49,0.0,-0.09443396149568023
M_text_only,subtype,macro_f1,0.3902488180405323,0.02040816326530612,1818,49,-0.011217413786589192,-0.10565137528226942
M_matched_image,subtype,macro_f1,0.4959001933228017,0.02040816326530612,1818,49,0.09443396149568023,0.0
M_prompt_plus_matched_image,subtype,macro_f1,0.48316219774194646,0.02040816326530612,1818,49,0.08169596591482498,-0.012737995580855255
M_degraded_image,subtype,macro_f1,0.49601111541566717,0.02040816326530612,1818,49,0.09454488358854568,0.00011092209286545085
M_mismatched_image,subtype,macro_f1,0.4665171568351753,0.02040816326530612,1818,49,0.06505092500805382,-0.029383036487626413
M_blank_image,subtype,macro_f1,0.40260238747726695,0.02040816326530612,1818,49,0.001136155650145465,-0.09329780584553476
T_neutral,subtype,balanced_accuracy,0.3701533756548714,0.02040816326530612,1818,49,-0.00975867123995483,-0.11001170951002531
T_prompt_primary,subtype,balanced_accuracy,0.3799120468948262,0.02040816326530612,1818,49,0.0,-0.10025303827007048
M_text_only,subtype,balanced_accuracy,0.37071776251910243,0.02040816326530612,1818,49,-0.009194284375723782,-0.10944732264579426
M_matched_image,subtype,balanced_accuracy,0.4801650851648967,0.02040816326530612,1818,49,0.10025303827007048,0.0
M_prompt_plus_matched_image,subtype,balanced_accuracy,0.4691872587250953,0.02040816326530612,1818,49,0.0892752118302691,-0.010977826439801386
M_degraded_image,subtype,balanced_accuracy,0.47857773769726447,0.02040816326530612,1818,49,0.09866569080243826,-0.0015873474676322274
M_mismatched_image,subtype,balanced_accuracy,0.4391243211674615,0.02040816326530612,1818,49,0.05921227427263526,-0.041040763997435226
M_blank_image,subtype,balanced_accuracy,0.3815186856719175,0.02040816326530612,1818,49,0.0016066387770912738,-0.09864639949297921
