analysis,anchor_name,condition,rsa_score,raw_reference_rsa,num_concepts,num_pairs
human_residual_after_visual_control,THINGS_residual_after_visual_anchors,T_prompt_primary,0.1148797112892784,0.19128343780088755,1854,1717731
human_residual_after_visual_control,THINGS_residual_after_visual_anchors,M_text_only,0.10178097765540738,0.16108344246769993,1854,1717731
human_residual_after_visual_control,THINGS_residual_after_visual_anchors,M_matched_image,0.17388251236603158,0.2722579781890108,1854,1717731
human_residual_after_visual_control,THINGS_residual_after_visual_anchors,M_prompt_plus_matched_image,0.1815164892573962,0.27773605930158995,1854,1717731
human_residual_after_visual_control,THINGS_residual_after_visual_anchors,M_mismatched_image,0.13896673844290192,0.19640581910103685,1854,1717731
human_residual_after_visual_control,THINGS_residual_after_visual_anchors,M_blank_image,0.11000666054674893,0.17083429640034975,1854,1717731
visual_residual_after_human_category_control,SigLIP2_residual_after_THINGS_and_proxies,T_prompt_primary,0.06103029325971054,0.1422913520819516,1854,1717731
visual_residual_after_human_category_control,SigLIP2_residual_after_THINGS_and_proxies,M_text_only,0.054684277363818166,0.12200949033968406,1854,1717731
visual_residual_after_human_category_control,SigLIP2_residual_after_THINGS_and_proxies,M_matched_image,0.0767541517093297,0.19335726222063168,1854,1717731
visual_residual_after_human_category_control,SigLIP2_residual_after_THINGS_and_proxies,M_prompt_plus_matched_image,0.06727785313975211,0.18753137065650138,1854,1717731
visual_residual_after_human_category_control,SigLIP2_residual_after_THINGS_and_proxies,M_mismatched_image,0.02942709105791497,0.11649610449153405,1854,1717731
visual_residual_after_human_category_control,SigLIP2_residual_after_THINGS_and_proxies,M_blank_image,0.04906634170546932,0.1216006156833154,1854,1717731
visual_residual_after_human_category_control,CLIP ViT-L/14_residual_after_THINGS_and_proxies,T_prompt_primary,0.052992531541103706,0.11062294815001665,1854,1717731
visual_residual_after_human_category_control,CLIP ViT-L/14_residual_after_THINGS_and_proxies,M_text_only,0.08842165530372657,0.13653539145459598,1854,1717731
visual_residual_after_human_category_control,CLIP ViT-L/14_residual_after_THINGS_and_proxies,M_matched_image,0.11134575009393145,0.19280572783852604,1854,1717731
visual_residual_after_human_category_control,CLIP ViT-L/14_residual_after_THINGS_and_proxies,M_prompt_plus_matched_image,0.11610917446292268,0.19922923382717694,1854,1717731
visual_residual_after_human_category_control,CLIP ViT-L/14_residual_after_THINGS_and_proxies,M_mismatched_image,0.10088165532106973,0.16040504645665576,1854,1717731
visual_residual_after_human_category_control,CLIP ViT-L/14_residual_after_THINGS_and_proxies,M_blank_image,0.0893306982034205,0.14008690310750369,1854,1717731
visual_residual_after_human_category_control,DINOv2_residual_after_THINGS_and_proxies,T_prompt_primary,0.013085691275683714,0.06089981962468411,1854,1717731
visual_residual_after_human_category_control,DINOv2_residual_after_THINGS_and_proxies,M_text_only,0.0071998915088894305,0.046615919087933555,1854,1717731
visual_residual_after_human_category_control,DINOv2_residual_after_THINGS_and_proxies,M_matched_image,0.03530002036855252,0.10115054865512915,1854,1717731
visual_residual_after_human_category_control,DINOv2_residual_after_THINGS_and_proxies,M_prompt_plus_matched_image,0.03710689116900921,0.10424199303926922,1854,1717731
visual_residual_after_human_category_control,DINOv2_residual_after_THINGS_and_proxies,M_mismatched_image,0.011609248134149465,0.059598710798704754,1854,1717731
visual_residual_after_human_category_control,DINOv2_residual_after_THINGS_and_proxies,M_blank_image,0.010939608894985072,0.05263824146212492,1854,1717731
