concept,diagnostic_role,image_count,mean_within_concept_similarity,mean_nearest_between_similarity,mean_image_to_prompt_similarity,prototype_to_prompt_similarity,single_to_prompt_similarity,prototype_to_single_similarity,stability_verdict
foam,reversal,5,0.9898680303302019,0.8450214819857237,0.018538941098373746,0.018618176627045693,0.019761869683861732,0.99780613942578,concept_stable
perfume,reversal,5,0.9901527744777378,0.8688368814371479,0.008518713288323602,0.00855091003009202,0.007930215448141098,0.9982018725421129,concept_stable
coral,reversal,5,0.9940831361681557,0.8588994125686231,-0.0007799168787095966,-0.000787576028558185,-0.000665677129290998,0.9987123613707988,concept_stable
bark,reversal,5,0.9987216463129254,0.8584801646248732,-0.010458042223236607,-0.01046355938371215,-0.010912541300058365,0.9995292370330096,concept_stable
bell,reversal,5,0.9912361062790674,0.8412627203438937,-0.00661561057889975,-0.006627106790741479,-0.007246663793921471,0.9947184316589112,concept_stable
chime,reversal,5,0.9883455833882329,0.8308004171513904,0.001917012325127788,0.0019052512078072401,0.002986401319503784,0.9955273564230515,concept_stable
coffee,reversal,5,0.9929107738018729,0.8688780710252395,-0.0025187860869556747,-0.0025267036228321504,-0.0043542287312448025,0.9973675025010801,concept_stable
fireworks,reversal,5,0.9941364089324847,0.8488314873414555,-0.011460803049885086,-0.011484536019216044,-0.010025310330092907,0.9960595203758953,concept_stable
marble,control,5,0.994046791193461,0.8537955926211523,0.00035427530672447447,0.0003554590503426293,0.00043309302418492734,0.9989214531570929,concept_stable
emerald,control,5,0.9920288929357086,0.8700389136368323,-0.00041405096359637403,-0.0004102545402802354,-0.00164510915055871,0.9986646816053307,concept_stable
amber,control,5,0.9967653262873583,0.8639578036650478,-0.011347800269776945,-0.011362657879946537,-0.011945673264563084,0.9989080865664135,concept_stable
gold,control,5,0.9952937715748696,0.8663861121197594,-0.00845031179503471,-0.008471598728516756,-0.007083581294864416,0.9974441702213748,concept_stable
ruby,control,5,0.9955454885557853,0.8718082308144771,-0.0162807053839024,-0.0163115377749021,-0.01646958850324154,0.9982978617521373,concept_stable
sandpaper,control,5,0.9959476303669806,0.855101402534118,-0.003180090618569835,-0.0031873515422733015,-0.003844696329906583,0.9983628542778487,concept_stable
moss,control,5,0.9970059120298151,0.860327517068612,0.0009038193241645198,0.0009050480731951537,0.0018758825026452541,0.9989453565269609,concept_stable
